Entity,Code,Year,"GDP, PPP (constant 2017 international $)",Annual CO₂ emissions,Annual consumption-based CO₂ emissions
Angola,AGO,2014,2.2201E+11,24767724,
Angola,AGO,2015,2.24096E+11,26030358,
Angola,AGO,2016,2.18315E+11,23992706,
Angola,AGO,2017,2.17987E+11,22617028,
Angola,AGO,2018,2.15118E+11,21434458,
Angola,AGO,2019,2.13612E+11,19222174,
Angola,AGO,2020,2.0165E+11,16764786,
Angola,AGO,2021,2.03868E+11,17505714,
Angola,AGO,2022,,16070269,
Anguilla,AIA,1990,,47632,
Anguilla,AIA,1991,,47632,
Anguilla,AIA,1992,,47632,
Anguilla,AIA,1993,,54960,
Anguilla,AIA,1994,,54960,
Anguilla,AIA,1995,,58624,
Anguilla,AIA,1996,,62288,
Anguilla,AIA,1997,,62288,
Anguilla,AIA,1998,,65952,
Anguilla,AIA,1999,,65952,
Anguilla,AIA,2000,,76944,
Anguilla,AIA,2001,,84272,
Anguilla,AIA,2002,,84272,
Anguilla,AIA,2003,,87936,
Anguilla,AIA,2004,,102592,
Anguilla,AIA,2005,,109920,
Anguilla,AIA,2006,,120912,
Anguilla,AIA,2007,,124576,
Anguilla,AIA,2008,,124576,
Anguilla,AIA,2009,,124576,
Anguilla,AIA,2010,,131904,
Anguilla,AIA,2011,,124576,
Anguilla,AIA,2012,,120912,
Anguilla,AIA,2013,,117248,
Anguilla,AIA,2014,,120912,
Anguilla,AIA,2015,,139232,
Anguilla,AIA,2016,,139232,
Anguilla,AIA,2017,,128240.01,
Anguilla,AIA,2018,,131904,
Anguilla,AIA,2019,,146560,
Anguilla,AIA,2020,,142896,
Anguilla,AIA,2021,,137698,
Anguilla,AIA,2022,,138967,
Antarctica,ATA,1990,,10992,
Antarctica,ATA,1991,,14656,
Antarctica,ATA,1992,,14656,
Antarctica,ATA,1993,,14656,
Antarctica,ATA,1994,,14656,
Antarctica,ATA,1995,,3664,
Antarctica,ATA,1996,,3664,
Antarctica,ATA,1997,,3664,
Antarctica,ATA,1998,,3664,
Antarctica,ATA,1999,,3664,
Antarctica,ATA,2000,,3664,
Antarctica,ATA,2001,,3664,
Antarctica,ATA,2002,,3664,
Antarctica,ATA,2003,,3664,
Antarctica,ATA,2004,,7328,
Antarctica,ATA,2005,,7328,
Antarctica,ATA,2006,,7328,
Antarctica,ATA,2007,,10992,
Antigua and Barbuda,ATG,1990,966678460,241824,
Antigua and Barbuda,ATG,1991,987719000,249152,
Antigua and Barbuda,ATG,1992,999161500,249152,
Antigua and Barbuda,ATG,1993,1051915970,256480.02,
Antigua and Barbuda,ATG,1994,1122149400,267472,
Antigua and Barbuda,ATG,1995,1073228200,271136,
Antigua and Barbuda,ATG,1996,1144109200,289456,
Antigua and Barbuda,ATG,1997,1206710400,311440,
Antigua and Barbuda,ATG,1998,1263801300,322432,
Antigua and Barbuda,ATG,1999,1310658300,344416,
Antigua and Barbuda,ATG,2000,1391964000,355408,
Antigua and Barbuda,ATG,2001,1328657400,370064,
Antigua and Barbuda,ATG,2002,1342308600,406704,
Antigua and Barbuda,ATG,2003,1423874600,428688,
Antigua and Barbuda,ATG,2004,1505989900,450672,
Antigua and Barbuda,ATG,2005,1603485000,479984,
Antigua and Barbuda,ATG,2006,1807258400,516623.97,
Antigua and Barbuda,ATG,2007,1975611400,534944,
Antigua and Barbuda,ATG,2008,1975328100,538608,
Antigua and Barbuda,ATG,2009,1739025500,556928,
Antigua and Barbuda,ATG,2010,1602675600,549600,
Antigua and Barbuda,ATG,2011,1571285400,545936,
Antigua and Barbuda,ATG,2012,1624282800,556928,
Antigua and Barbuda,ATG,2013,1614522900,556928,
Antigua and Barbuda,ATG,2014,1675805700,567920,
Antigua and Barbuda,ATG,2015,1739910300,582576,
Antigua and Barbuda,ATG,2016,1835543700,597232,
Antigua and Barbuda,ATG,2017,1893259100,604560,
Antigua and Barbuda,ATG,2018,2023584300,615552,
Antigua and Barbuda,ATG,2019,2121975700,641200,
Antigua and Barbuda,ATG,2020,1693498500,619216,
Antigua and Barbuda,ATG,2021,1782760200,596693,
Antigua and Barbuda,ATG,2022,,602192,
Argentina,ARG,1990,4.61383E+11,112079090,112934860
Argentina,ARG,1991,5.03522E+11,117505740,121189040
Argentina,ARG,1992,5.43488E+11,121230584,128352660
Argentina,ARG,1993,5.88092E+11,117777490,123750450
Argentina,ARG,1994,6.22414E+11,118469420,124157780
Argentina,ARG,1995,6.04705E+11,125239784,128355016
Argentina,ARG,1996,6.38125E+11,131134840,134315680
Argentina,ARG,1997,6.89884E+11,136523740,143610140
Argentina,ARG,1998,7.16445E+11,139005000,147449090
Argentina,ARG,1999,6.9219E+11,147673550,149290900
Argentina,ARG,2000,6.86729E+11,142765220,141492100
Argentina,ARG,2001,6.56452E+11,134422270,129982056
Argentina,ARG,2002,5.84935E+11,124454620,81899220
Argentina,ARG,2003,6.36626E+11,133993820,112353100
Argentina,ARG,2004,6.94111E+11,156712420,133119260
Argentina,ARG,2005,7.55551E+11,161189180,140418530
Argentina,ARG,2006,8.16351E+11,174209920,150881950
Argentina,ARG,2007,8.89886E+11,173482060,156049250
Argentina,ARG,2008,9.2599E+11,187243460,172725680
Argentina,ARG,2009,8.71185E+11,178110960,157668620
Argentina,ARG,2010,9.59396E+11,185854340,171810270
Argentina,ARG,2011,1.017E+12,189676100,189726350
Argentina,ARG,2012,1.00656E+12,191292110,189753100
Argentina,ARG,2013,1.03077E+12,189537740,198467840
Argentina,ARG,2014,1.00487E+12,188396530,185234580
Argentina,ARG,2015,1.03232E+12,191743840,199940430
Argentina,ARG,2016,1.01084E+12,189920450,187257070
Argentina,ARG,2017,1.03933E+12,186898880,190972580
Argentina,ARG,2018,1.01213E+12,180599310,177653180
Argentina,ARG,2019,9.91876E+11,178511620,167036880
Argentina,ARG,2020,8.93251E+11,166879580,157683200
Argentina,ARG,2021,9.86134E+11,189744130,177081940
Argentina,ARG,2022,,192864430,
Armenia,ARM,1990,18327906000,8947546,6013874
Armenia,ARM,1991,16183542000,7307800,4568620
Armenia,ARM,1992,9418821000,5723698,3619580.2
Armenia,ARM,1993,8589964000,2510247,1807629.8
Armenia,ARM,1994,9053823000,2684702,1783807.1
Armenia,ARM,1995,9678537000,3362694,2683168.8
Armenia,ARM,1996,10246222000,2500312,2788677.5
Armenia,ARM,1997,10586506000,3252761,4078197.2
Armenia,ARM,1998,11359321000,3419094,4032699
Armenia,ARM,1999,11734179000,3040204,5171838.5
Armenia,ARM,2000,12426496000,3491407,4260383.5
Armenia,ARM,2001,13619440000,3532701,4464165
Armenia,ARM,2002,15417206000,3076793,4434738
Armenia,ARM,2003,17575614000,3455560,3964765.2
Armenia,ARM,2004,19421053000,3691197,4235823.5
Armenia,ARM,2005,22120580000,4376169,5772569
Armenia,ARM,2006,25040497000,4401590,5127106.5
Armenia,ARM,2007,28471044000,5100210,10109068
Armenia,ARM,2008,30435547000,5574790,6528300
Armenia,ARM,2009,26144135000,4363332,5886011.5
Armenia,ARM,2010,26719306000,4252750,5295143
Armenia,ARM,2011,27975113000,4968878,5278695.5
Armenia,ARM,2012,29989320000,5748252,6518089.5
Armenia,ARM,2013,30978970000,5535004,6038288
Armenia,ARM,2014,32094212000,5604113,5819027
Armenia,ARM,2015,33121227000,5469323,5885340.5
Armenia,ARM,2016,33187470000,5203013,5520990
Armenia,ARM,2017,35676530000,5540153,5797781
Armenia,ARM,2018,37531710000,5825786,7114316.5
Armenia,ARM,2019,40384120000,6284110,6924496
Armenia,ARM,2020,37476463000,6799022,7438652
Armenia,ARM,2021,39612620000,7064143,7800424.5
Armenia,ARM,2022,,6407760,
Aruba,ABW,1990,2025472600,487312,
Aruba,ABW,1991,2186758400,531280,
Aruba,ABW,1992,2315391200,538608,
Aruba,ABW,1993,2484593200,648528,
Aruba,ABW,1994,2688426500,659520,
Aruba,ABW,1995,2756904700,707152,
Aruba,ABW,1996,2789595600,725472,
Aruba,ABW,1997,2986175000,758448,
Aruba,ABW,1998,3045659100,806080,
Aruba,ABW,1999,3083365600,809744,
Aruba,ABW,2000,3318213000,2377936,
Aruba,ABW,2001,3457444000,2407248,
Aruba,ABW,2002,3424329700,2436560,
Aruba,ABW,2003,3462712300,2561136,
Aruba,ABW,2004,3714833200,2616096,
Aruba,ABW,2005,3700533800,2718688,
Aruba,ABW,2006,3742679300,2715024,
Aruba,ABW,2007,3858579700,2821280,
Aruba,ABW,2008,3929324300,2656400,
Aruba,ABW,2009,3470238200,2627088,
Aruba,ABW,2010,3375410700,2506176,
Aruba,ABW,2011,3489053200,2498848,
Aruba,ABW,2012,3452928500,1348352,
Aruba,ABW,2013,3674945500,861040,
Aruba,ABW,2014,3674193000,872032,
Aruba,ABW,2015,3804392700,897680,
Aruba,ABW,2016,3884920800,883024,
Aruba,ABW,2017,4097906700,890352,
Aruba,ABW,2018,4313368600,872032,
Aruba,ABW,2019,4340759600,890352,
Aruba,ABW,2020,3533851600,890352,
Aruba,ABW,2021,4140702500,857967,
Aruba,ABW,2022,,865874,
Asia,,1990,,6608574500,6551290400
Asia,,1991,,7405573000,6714813000
Asia,,1992,,7248764400,7243272000
Asia,,1993,,7582536000,7478143000
Asia,,1994,,7937216500,7643907600
Asia,,1995,,8257986000,7995788000
Asia,,1996,,8596896000,8247554600
Asia,,1997,,8717279000,8257415000
Asia,,1998,,8473237000,7820323000
Asia,,1999,,8952734000,8346470400
Asia,,2000,,9328854000,8661334000
Asia,,2001,,9491190000,8746021000
Asia,,2002,,10012849000,9184300000
Asia,,2003,,11021268000,9984590000
Asia,,2004,,11680722000,10545235000
Asia,,2005,,12527827000,11165179000
Asia,,2006,,13389901000,11861439000
Asia,,2007,,14088936000,12585702000
Asia,,2008,,14828029000,13285811000
Asia,,2009,,15345886000,13908832000
Asia,,2010,,16496831000,14912529000
Asia,,2011,,17715628000,16140155000
Asia,,2012,,18400993000,16974263000
Asia,,2013,,18635370000,17180735000
Asia,,2014,,18959088000,17501135000
Asia,,2015,,19113157000,17803465000
Asia,,2016,,19244577000,17891465000
Asia,,2017,,19773784000,18403074000
Asia,,2018,,20401152000,19136846000
Asia,,2019,,20855636000,19559414000
Asia,,2020,,20519535000,19135025000
Asia,,2021,,21438681000,19913927000
Asia,,2022,,21772347000,
Asia (GCP),,1990,,5766321000,5964656600
Asia (GCP),,1991,,5997791000,6046162000
Asia (GCP),,1992,,6231175700,6476732400
Asia (GCP),,1993,,6477620000,6671772000
Asia (GCP),,1994,,6773689000,6816077300
Asia (GCP),,1995,,7132888600,7170488000
Asia (GCP),,1996,,7452906500,7441928700
Asia (GCP),,1997,,7589188000,7469866500
Asia (GCP),,1998,,7306496000,6973378000
Asia (GCP),,1999,,7696359000,7581038600
Asia (GCP),,2000,,7940076500,7875559000
Asia (GCP),,2001,,8087269400,7965906400
Asia (GCP),,2002,,8590895000,8381635000
Asia (GCP),,2003,,9507141000,8976912000
Asia (GCP),,2004,,10049575000,9438316000
Asia (GCP),,2005,,10832524000,9993433000
Asia (GCP),,2006,,11584675000,10545525000
Asia (GCP),,2007,,12292028000,11142834000
Asia (GCP),,2008,,12889317000,11760325000
Asia (GCP),,2009,,13327960000,12327945000
Asia (GCP),,2010,,14366534000,13293698000
Asia (GCP),,2011,,15540582000,14504446000
Asia (GCP),,2012,,16079691000,15172105000
Asia (GCP),,2013,,16360907000,15437039000
Asia (GCP),,2014,,16575174000,15654227000
Asia (GCP),,2015,,16612157000,15712869000
Asia (GCP),,2016,,16682630000,15840402000
Asia (GCP),,2017,,17134460000,16357334000
Asia (GCP),,2018,,17738508000,17085579000
Asia (GCP),,2019,,18190260000,17507142000
Asia (GCP),,2020,,18005277000,17178630000
Asia (GCP),,2021,,18805864000,17915208000
Asia (GCP),,2022,,19102590000,
Asia (excl. China and India),,1990,,3545724200,3655510800
Asia (excl. China and India),,1991,,4184112000,3718148000
Asia (excl. China and India),,1992,,3862529800,4020717800
Asia (excl. China and India),,1993,,3983586000,4069094100
Asia (excl. China and India),,1994,,4119413500,4210422500
Asia (excl. China and India),,1995,,4135887400,4282645500
Asia (excl. China and India),,1996,,4264457200,4353915400
Asia (excl. China and India),,1997,,4343674000,4394787000
Asia (excl. China and India),,1998,,4232877000,4040846300
Asia (excl. China and India),,1999,,4444999000,4267442400
Asia (excl. China and India),,2000,,4702127000,4490636000
Asia (excl. China and India),,2001,,4771707000,4473547300
Asia (excl. China and India),,2002,,4888142300,4605334500
Asia (excl. China and India),,2003,,5120989000,4924978000
Asia (excl. China and India),,2004,,5338274300,5193589000
Asia (excl. China and India),,2005,,5460009500,5351009300
Asia (excl. China and India),,2006,,5603077600,5547103700
Asia (excl. China and India),,2007,,5712854000,5743922700
Asia (excl. China and India),,2008,,5837094000,5935788000
Asia (excl. China and India),,2009,,5842581000,5662197000
Asia (excl. China and India),,2010,,6198867500,5998063600
Asia (excl. China and India),,2011,,6418505700,6371146000
Asia (excl. China and India),,2012,,6695939000,6686137000
Asia (excl. China and India),,2013,,6683896300,6674402300
Asia (excl. China and India),,2014,,6812070400,6725761000
Asia (excl. China and India),,2015,,7011986000,6840156700
Asia (excl. China and India),,2016,,7124889600,6847218000
Asia (excl. China and India),,2017,,7336026600,6987095000
Asia (excl. China and India),,2018,,7454159400,7096173600
Asia (excl. China and India),,2019,,7521706500,7179140000
Asia (excl. China and India),,2020,,7183972000,6903161000
Asia (excl. China and India),,2021,,7428227600,7146114000
Asia (excl. China and India),,2022,,7545927700,
Australia,AUS,1990,5.29123E+11,278160300,243324160
Australia,AUS,1991,5.27096E+11,279534000,243937360
Australia,AUS,1992,5.29355E+11,284528770,246536340
Australia,AUS,1993,5.50781E+11,288873500,247452640
Australia,AUS,1994,5.72707E+11,293700930,256014430
Australia,AUS,1995,5.94969E+11,305055580,261645100
Australia,AUS,1996,6.17916E+11,311940480,268020700
Australia,AUS,1997,6.42094E+11,320332770,275645950
Australia,AUS,1998,6.71716E+11,334135550,295575870
Australia,AUS,1999,7.05008E+11,343959200,296615550
Australia,AUS,2000,7.32512E+11,350007680,290901100
Australia,AUS,2001,7.47465E+11,357783400,299606620
Australia,AUS,2002,7.77316E+11,362536540,318183970
Australia,AUS,2003,8.01501E+11,369441730,334779200
Australia,AUS,2004,8.35298E+11,382873440,344480700
Australia,AUS,2005,8.61641E+11,386205380,343993730
Australia,AUS,2006,8.85255E+11,392436350,356046200
Australia,AUS,2007,9.187E+11,399676260,367324740
Australia,AUS,2008,9.51481E+11,404255700,362790980
Australia,AUS,2009,9.69279E+11,407477150,394426430
Australia,AUS,2010,9.90666E+11,405512200,394981820
Australia,AUS,2011,1.01436E+12,404256770,394038700
Australia,AUS,2012,1.05394E+12,406579740,401700380
Australia,AUS,2013,1.08112E+12,399288030,380625630
Australia,AUS,2014,1.109E+12,393049380,380008030
Australia,AUS,2015,1.13287E+12,401378370,381730080
Australia,AUS,2016,1.16381E+12,410253600,371360930
Australia,AUS,2017,1.19037E+12,413655460,377180700
Australia,AUS,2018,1.22468E+12,415350720,364888220
Australia,AUS,2019,1.25128E+12,415811260,362199260
Australia,AUS,2020,1.25064E+12,396685200,353473630
Australia,AUS,2021,1.27861E+12,386606940,338308830
Australia,AUS,2022,,392279260,
Austria,AUT,1990,2.87878E+11,62167160,89404160
Austria,AUT,1991,2.97785E+11,65765656,91087060
Austria,AUT,1992,3.0402E+11,60266150,93127660
Austria,AUT,1993,3.05621E+11,60692130,89089380
Austria,AUT,1994,3.12962E+11,61066644,88881640
Austria,AUT,1995,3.21312E+11,64044060,93009610
Austria,AUT,1996,3.28862E+11,67388560,101013790
Austria,AUT,1997,3.35747E+11,67285130,95116150
Austria,AUT,1998,3.47771E+11,66920028,98463460
Austria,AUT,1999,3.60139E+11,65671310,96853270
Austria,AUT,2000,3.72296E+11,66171724,92073730
Austria,AUT,2001,3.77014E+11,70171320,96591580
Austria,AUT,2002,3.83241E+11,71974936,95147770
Austria,AUT,2003,3.86849E+11,77401896,100981900
Austria,AUT,2004,3.97429E+11,77699210,104716300
Austria,AUT,2005,4.06348E+11,79097400,106772296
Austria,AUT,2006,4.20383E+11,76817416,110066460
Austria,AUT,2007,4.36053E+11,74117800,105580700
Austria,AUT,2008,4.42421E+11,73495470,103708100
Austria,AUT,2009,4.25766E+11,67315330,95295480
Austria,AUT,2010,4.33588E+11,72017330,101209240
Austria,AUT,2011,4.4626E+11,69909256,103159370
Austria,AUT,2012,4.49297E+11,67282920,99573180
Austria,AUT,2013,4.49412E+11,67776040,94908770
Austria,AUT,2014,4.52383E+11,64175904,95308830
Austria,AUT,2015,4.56973E+11,66365640,89089190
Austria,AUT,2016,4.66064E+11,67226580,92343290
Austria,AUT,2017,4.7659E+11,69608664,91876856
Austria,AUT,2018,4.8815E+11,66571892,91230850
Austria,AUT,2019,4.95557E+11,67956160,89151060
Austria,AUT,2020,4.63574E+11,62121252,80822790
Austria,AUT,2021,4.84698E+11,66018630,88172120
Austria,AUT,2022,,61488424,
Azerbaijan,AZE,1990,54652854000,51151204,28016616
Azerbaijan,AZE,1991,54270284000,49752200,21363630
Azerbaijan,AZE,1992,42005200000,56174400,13263804
Azerbaijan,AZE,1993,32302000000,48406096,24018240
Azerbaijan,AZE,1994,25938506000,41944856,18929278
Azerbaijan,AZE,1995,22877762000,33309350,23203862
Azerbaijan,AZE,1996,23175172000,31242310,28304930
Azerbaijan,AZE,1997,24519332000,29842898,25621734
Azerbaijan,AZE,1998,26971265000,31784872,30199458
Azerbaijan,AZE,1999,28967140000,28821594,26870392
Azerbaijan,AZE,2000,32182491000,29765310,23812044
Azerbaijan,AZE,2001,35368560000,28415460,25190906
Azerbaijan,AZE,2002,38706967000,28570334,30081518
Azerbaijan,AZE,2003,42658290000,30487584,33931930
Azerbaijan,AZE,2004,46605804000,32253040,40272292
Azerbaijan,AZE,2005,59637500000,34193560,35168350
Azerbaijan,AZE,2006,80212440000,34521828,36911024
Azerbaijan,AZE,2007,1.00266E+11,30036786,30756120
Azerbaijan,AZE,2008,1.11053E+11,33036510,33771252
Azerbaijan,AZE,2009,1.21377E+11,29102576,31882988
Azerbaijan,AZE,2010,1.27505E+11,27549052,30249616
Azerbaijan,AZE,2011,1.27633E+11,30209808,32316430
